Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Dmg.binary
Non-Fatal,Substantial,Airplane,Cessna,140,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Cessna,401B,No,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Destroyed,Airplane,Bellanca,17-30A,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,0.0,1
Fatal(1),Destroyed,Airplane,Cessna,R172K,No,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,1
Fatal(1),Destroyed,Airplane,Navion,A,No,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,1
Fatal(2),Destroyed,Airplane,Beech,19,No,1.0,Reciprocating,Part 91: General Aviation,2.0,0.0,0.0,0.0,1
Fatal(3),Destroyed,Airplane,Cessna,180,No,1.0,Reciprocating,Part 91: General Aviation,3.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,150L,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Incident,Minor,Airplane,Piper,PA-24-180,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,0
Fatal(2),Destroyed,Airplane,Grumman,AA-5B,No,1.0,Reciprocating,Part 91: General Aviation,2.0,1.0,0.0,0.0,1
Fatal(8),Destroyed,Airplane,Cessna,414A,No,2.0,Reciprocating,Part 91: General Aviation,8.0,0.0,0.0,0.0,1
Fatal(1),Destroyed,Airplane,Beechcraft,BE-58,No,2.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Maule,M-5-235C,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Cessna,210L,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,1.0,1.0,1
Non-Fatal,Substantial,Airplane,Bellanca,7GCBC,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,2.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,182,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,2.0,0.0,1
Non-Fatal,Substantial,Airplane,Air Tractor,AT-301,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Fatal(4),Destroyed,Airplane,Piper,PA-28-161,No,1.0,Reciprocating,Part 91: General Aviation,4.0,0.0,0.0,0.0,1
Fatal(2),Destroyed,Airplane,Piper,PA-34-200T,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,2.0,0.0,0.0,0.0,1
Fatal(2),Destroyed,Airplane,Cessna,T337G,No,2.0,Reciprocating,Part 91: General Aviation,2.0,2.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-28R-200,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,2.0,0.0,1
Fatal(1),Destroyed,Airplane,Cessna,206,No,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,1.0,0.0,1
Fatal(3),Destroyed,Airplane,Navion,A,No,1.0,Reciprocating,Part 91: General Aviation,3.0,0.0,0.0,0.0,1
Fatal(1),Destroyed,Airplane,Piper,PA-22,No,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,1
Fatal(2),Destroyed,Airplane,Piper,PA-31,No,2.0,Reciprocating,Part 135: Air Taxi & Commuter,2.0,0.0,0.0,0.0,1
Incident,Minor,Airplane,Rockwell,114,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,0
Non-Fatal,Substantial,Airplane,Piper,PA-24-250,No,1.0,Reciprocating,Part 91: General Aviation,0.0,1.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-28R-200,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,TR182,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,A185F,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,0.0,2.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,340,Yes,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,1
Non-Fatal,Substantial,Airplane,Beech,35,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,1
Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Mooney,M-20J,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Boeing,A75,No,1.0,Reciprocating,Part 91: General Aviation,0.0,1.0,0.0,1.0,1
Fatal(2),Destroyed,Airplane,Cessna,210,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,2.0,0.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Beech,V35,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Curtis,C46,No,2.0,Reciprocating,"Part 125: 20+ Pax,6000+ lbs",0.0,0.0,0.0,3.0,1
Fatal(1),Destroyed,Airplane,Cessna,172M,No,1.0,Reciprocating,Part 91: General Aviation,1.0,0.0,0.0,0.0,1
Fatal(1),Destroyed,Airplane,Piper,PA-28-140,No,1.0,Reciprocating,Part 91: General Aviation,1.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,TU206G,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-24-250,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,P210N,No,1.0,Reciprocating,Part 91: General Aviation,0.0,1.0,0.0,3.0,1
Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Piper,PA-34,No,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,3.0,1
Non-Fatal,Substantial,Airplane,Cessna,305 (L-19),No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Non-Fatal,Substantial,Airplane,Cessna,182A,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Destroyed,Airplane,Piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,0.0,2.0,0.0,0.0,1
Non-Fatal,Destroyed,Airplane,Cessna,172N,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,4.0,1
Non-Fatal,Destroyed,Airplane,Piper,23-250,No,2.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,2.0,1
Fatal(1),Destroyed,Airplane,Mooney,M20G,No,1.0,Reciprocating,Part 91: General Aviation,1.0,1.0,0.0,0.0,1
Non-Fatal,Substantial,Airplane,Cessna,TU206F,No,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,4.0,0.0,1
Non-Fatal,Substantial,Airplane,Quickie,1,Yes,1.0,Reciprocating,Part 91: General Aviation,0.0,0.0,0.0,1.0,1
Non-Fatal,Substantial,Airplane,Cessna,U206,No,1.0,Reciprocating,Part 135: Air Taxi & Commuter,0.0,0.0,3.0,0.0,1
