Make,Number.of.Engines,Engine.Type,Injury.Severity,Aircraft.damage,Dmg.Binary
STINSON,1.0,Reciprocating,Fatal(2),Destroyed,True
PIPER,1.0,Reciprocating,Fatal(4),Destroyed,True
CESSNA,1.0,Reciprocating,Fatal(3),Destroyed,True
ROCKWELL,1.0,Reciprocating,Fatal(2),Destroyed,True
MCDONNELL DOUGLAS,2.0,Turbo Fan,Non-Fatal,Substantial,True
CESSNA,1.0,Reciprocating,Fatal(4),Destroyed,True
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,True
CESSNA,2.0,Reciprocating,Non-Fatal,Substantial,True
NORTH AMERICAN,1.0,Reciprocating,Non-Fatal,Substantial,True
PIPER,1.0,Reciprocating,Non-Fatal,Substantial,True
BEECH,1.0,Reciprocating,Non-Fatal,Substantial,True
BELLANCA,1.0,Reciprocating,Non-Fatal,Destroyed,True
CESSNA,1.0,Reciprocating,Fatal(1),Destroyed,True
NAVION,1.0,Reciprocating,Fatal(1),Destroyed,True
BEECH,1.0,Reciprocating,Fatal(2),Destroyed,True
ENSTROM,1.0,Reciprocating,Non-Fatal,Destroyed,True
CESSNA,1.0,Reciprocating,Fatal(3),Destroyed,True
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,True
SMITH,1.0,Reciprocating,Non-Fatal,Substantial,True
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,True
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,True
BELL,1.0,Turbo Shaft,Non-Fatal,Substantial,True
PIPER,1.0,Reciprocating,Incident,Minor,False
GRUMMAN,1.0,Reciprocating,Fatal(2),Destroyed,True
CESSNA,2.0,Reciprocating,Fatal(8),Destroyed,True
BEECHCRAFT,2.0,Reciprocating,Fatal(1),Destroyed,True
MAULE,1.0,Reciprocating,Non-Fatal,Substantial,True
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,True
BELLANCA,1.0,Reciprocating,Non-Fatal,Substantial,True
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,True
AIR TRACTOR,1.0,Reciprocating,Non-Fatal,Substantial,True
PIPER,1.0,Reciprocating,Fatal(4),Destroyed,True
PIPER,2.0,Reciprocating,Fatal(2),Destroyed,True
CESSNA,2.0,Reciprocating,Fatal(2),Destroyed,True
PIPER,1.0,Reciprocating,Non-Fatal,Substantial,True
CESSNA,1.0,Reciprocating,Fatal(1),Destroyed,True
NAVION,1.0,Reciprocating,Fatal(3),Destroyed,True
PIPER,1.0,Reciprocating,Fatal(1),Destroyed,True
PIPER,2.0,Reciprocating,Fatal(2),Destroyed,True
ROCKWELL,1.0,Reciprocating,Incident,Minor,False
PIPER,1.0,Reciprocating,Non-Fatal,Substantial,True
