Make,Number.of.Engines,Engine.Type,Injury.Severity,Aircraft.damage,Dmg.Binary
PIPER,1.0,Reciprocating,Fatal(4),Destroyed,1
CESSNA,1.0,Reciprocating,Fatal(3),Destroyed,1
CESSNA,1.0,Reciprocating,Fatal(4),Destroyed,1
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,2.0,Reciprocating,Non-Fatal,Substantial,1
PIPER,1.0,Reciprocating,Non-Fatal,Substantial,1
BEECH,1.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,1.0,Reciprocating,Fatal(1),Destroyed,1
BEECH,1.0,Reciprocating,Fatal(2),Destroyed,1
CESSNA,1.0,Reciprocating,Fatal(3),Destroyed,1
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,1
BELL,1.0,Turbo Shaft,Non-Fatal,Substantial,1
PIPER,1.0,Reciprocating,Incident,Minor,0
CESSNA,2.0,Reciprocating,Fatal(8),Destroyed,1
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,1
PIPER,1.0,Reciprocating,Fatal(4),Destroyed,1
PIPER,2.0,Reciprocating,Fatal(2),Destroyed,1
CESSNA,2.0,Reciprocating,Fatal(2),Destroyed,1
PIPER,1.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,1.0,Reciprocating,Fatal(1),Destroyed,1
PIPER,1.0,Reciprocating,Fatal(1),Destroyed,1
PIPER,2.0,Reciprocating,Fatal(2),Destroyed,1
PIPER,1.0,Reciprocating,Non-Fatal,Substantial,1
PIPER,1.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,2.0,Reciprocating,Non-Fatal,Substantial,1
BEECH,1.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,1
MOONEY,1.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,1.0,Reciprocating,Fatal(2),Destroyed,1
BEECH,1.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,1.0,Reciprocating,Fatal(1),Destroyed,1
PIPER,1.0,Reciprocating,Fatal(1),Destroyed,1
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,1
PIPER,1.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,1
PIPER,2.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,1
PIPER,2.0,Reciprocating,Non-Fatal,Destroyed,1
CESSNA,1.0,Reciprocating,Non-Fatal,Destroyed,1
PIPER,2.0,Reciprocating,Non-Fatal,Destroyed,1
MOONEY,1.0,Reciprocating,Fatal(1),Destroyed,1
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,1
PIPER,1.0,Reciprocating,Non-Fatal,Destroyed,1
CESSNA,1.0,Reciprocating,Fatal(4),Destroyed,1
CESSNA,1.0,Reciprocating,Non-Fatal,Substantial,1
CESSNA,2.0,Reciprocating,Non-Fatal,Substantial,1
