Number.of.Engines,Engine.Type,Make,Dmg.binary
1.0,Reciprocating,CESSNA,1
2.0,Reciprocating,CESSNA,1
1.0,Reciprocating,BELLANCA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,NAVION,1
1.0,Reciprocating,BEECH,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,PIPER,0
1.0,Reciprocating,GRUMMAN,1
2.0,Reciprocating,CESSNA,1
2.0,Reciprocating,BEECHCRAFT,1
1.0,Reciprocating,MAULE,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,BELLANCA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,AIR TRACTOR,1
1.0,Reciprocating,PIPER,1
2.0,Reciprocating,PIPER,1
2.0,Reciprocating,CESSNA,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,NAVION,1
1.0,Reciprocating,PIPER,1
2.0,Reciprocating,PIPER,1
1.0,Reciprocating,ROCKWELL,0
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
2.0,Reciprocating,CESSNA,1
1.0,Reciprocating,BEECH,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,MOONEY,1
1.0,Reciprocating,BOEING,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,BEECH,1
2.0,Reciprocating,CURTIS,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
2.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
2.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
2.0,Reciprocating,PIPER,1
1.0,Reciprocating,MOONEY,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,QUICKIE,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
2.0,Reciprocating,CESSNA,1
2.0,Turbo Prop,EMBRAER,0
2.0,Reciprocating,CESSNA,1
1.0,Reciprocating,BEECH,1
1.0,Reciprocating,GRUMMAN,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,BEECH,1
2.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
2.0,Turbo Prop,SWEARINGEN,1
2.0,Reciprocating,BEECH,1
1.0,Turbo Prop,DE HAVILLAND,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,BEDE AIRCRAFT,1
1.0,Reciprocating,CESSNA,1
2.0,Reciprocating,CONVAIR,1
2.0,Reciprocating,PIPER,1
2.0,Turbo Prop,PIPER,1
2.0,Reciprocating,BEECH,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,BEECH,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,MOONEY,1
1.0,Reciprocating,BEECH,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,GRUMMAN,1
2.0,Turbo Prop,SWEARINGEN,1
2.0,Turbo Prop,DE HAVILLAND,0
2.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,BEACHNER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
2.0,Reciprocating,CESSNA,1
1.0,Reciprocating,PIPER,1
4.0,Turbo Prop,CANADAIR,1
1.0,Reciprocating,PIPER,1
2.0,Reciprocating,PIPER,0
2.0,Reciprocating,BEECH,1
1.0,Reciprocating,CESSNA,1
2.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
2.0,Reciprocating,CESSNA,1
2.0,Reciprocating,DOUGLAS,1
2.0,Reciprocating,PIPER,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,GRUMMAN,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,MOONEY,1
1.0,Reciprocating,AIR TRACTOR,1
1.0,Reciprocating,SONS MUSTANG,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,MOONEY,1
1.0,Reciprocating,GRUMMAN,1
3.0,Turbo Fan,MCDONNELL DOUGLAS,1
1.0,Reciprocating,BEECH,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
2.0,Reciprocating,PIPER,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,PIPER,1
2.0,Reciprocating,ROBERTSON,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,BELLANCA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,AERONCA,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,PIPER,1
2.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,MOONEY,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,PIPER,0
1.0,Reciprocating,MOONEY,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,AERONCA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,BEECH,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,PIPER,1
2.0,Turbo Prop,BEECH,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,BELLANCA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
2.0,Turbo Jet,GRUMMAN,1
1.0,Reciprocating,PIPER,1
2.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,SMITH MINIPLANE,1
1.0,Reciprocating,MOONEY,1
2.0,Turbo Prop,MITSUBISHI,1
3.0,Turbo Fan,MCDONNELL-DOUGLAS,0
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,TAYLORCRAFT,1
2.0,Reciprocating,TED SMITH,1
1.0,Reciprocating,BELLANCA,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,BOEING,0
2.0,Reciprocating,PIPER,1
1.0,Reciprocating,BELLANCA,0
1.0,Reciprocating,TAYLORCRAFT,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,PIPER,1
2.0,Reciprocating,ERCOUPE,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,ROCKWELL COMDR,1
1.0,Reciprocating,PIPER,1
1.0,Reciprocating,CESSNA,1
1.0,Reciprocating,CESSNA,1
